strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,26,200,5,rep2,128873.0,11.766582702285165
MIT9312,26,200,7,rep2,230470.0,12.347875981104536
MIT9312,26,200,8,rep2,266760.0,12.494104656746243
MIT9312,26,200,10,rep2,624040.0,13.343969747861186
MIT9312,28,200,1,rep2,38157.0,10.549464506119595
MIT9312,28,200,4,rep2,108799.0,11.597257422185269
MIT9312,28,200,5,rep2,132500.0,11.794337924408413
MIT9312,28,200,7,rep2,243390.0,12.40242037405722
MIT9312,28,200,8,rep2,359130.0,12.791439718913525
MIT9312,28,200,10,rep2,380840.0,12.850134618399627
MIT9312,14,400,1,rep2,4398.0,8.388905171114706
MIT9312,16,400,1,rep2,5759.0,8.658519127506672
MIT9312,16,400,4,rep2,552.0,6.313548046277095
MIT9312,16,400,5,rep2,1276.0,7.151485463904735
MIT9312,16,400,7,rep2,3195.0,8.069342366811636
MIT9312,16-19,400,1,rep2,2726.0,7.9105906122564775
MIT9312,16-19,400,4,rep2,1489.0,7.305860032684009
MIT9312,16-19,400,5,rep2,680.0,6.522092798170152
MIT9312,16-19,400,7,rep2,255.0,5.541263545158426
MIT9312,16-19,400,8,rep2,424.0,6.049733455231958
MIT9312,16-19,400,10,rep2,510.0,6.234410725718371
MIT9312,19,400,1,rep2,35189.0,10.46848881274789
MIT9312,19,400,4,rep2,30824.0,10.336048886305994
MIT9312,19,400,5,rep2,23643.0,10.070822367021758
MIT9312,19,400,7,rep2,22530.0,10.02260303342629
MIT9312,19,400,8,rep2,7640.0,8.941152882160566
MIT9312,19,400,10,rep2,7650.0,8.942460926820582
MIT9312,22,400,1,rep2,42533.0,10.658035524203411
MIT9312,22,400,4,rep2,136928.0,11.827210519216543
MIT9312,22,400,5,rep2,191785.0,12.164130231908121
MIT9312,22,400,7,rep2,435270.0,12.98372180717784
MIT9312,22,400,8,rep2,692120.0,13.447514629970584
MIT9312,22,400,10,rep2,1283350.0,14.064984404524514
MIT9312,24,400,1,rep2,53065.0,10.879272856195923
MIT9312,24,400,4,rep2,187323.0,12.140589678543993
MIT9312,24,400,5,rep2,253673.0,12.443801315012529
MIT9312,24,400,7,rep2,737160.0,13.510560243945973
MIT9312,24,400,8,rep2,1015810.0,13.831196881758396
MIT9312,24,400,10,rep2,2963490.0,14.901878185815944
MIT9312,26,400,1,rep2,64327.0,11.071734728776972
